locality,state,postcode,count,latitude,longitude
Alexandra Hills,QLD,4161,7080,-27.5275,153.2242
Smithfield,NSW,2164,7075,-33.8521,150.9356
Rose Bay,NSW,2029,7072,-33.8726,151.2705
Mawson Lakes,SA,5095,7071,-34.809,138.6107
Nunawading,VIC,3131,7064,-37.8181,145.1765
Hamilton Hill,WA,6163,7061,-32.0835,115.7799
Mango Hill,QLD,4509,7045,-27.2363,153.033
Katoomba,NSW,2780,7042,-33.7123,150.3106
East Victoria Park,WA,6101,7038,-31.9884,115.905
West Footscray,VIC,3012,7035,-37.7994,144.8709
Malvern,VIC,3144,7026,-37.8573,145.0347
Portland,VIC,3305,6990,-38.3506,141.6023
Paralowie,SA,5108,6976,-34.7568,138.6077
Marsden Park,NSW,2765,6975,-33.6981,150.8195
Forrestfield,WA,6058,6972,-31.984,116.0081
Swan Hill,VIC,3585,6962,-35.3418,143.5497
Box Hill,NSW,2765,6961,-33.6499,150.8974
Cowra,NSW,2794,6947,-33.8306,148.6825
Moe,VIC,3825,6942,-38.1806,146.2561
Wendouree,VIC,3355,6940,-37.5307,143.8305
Inala,QLD,4077,6934,-27.5956,152.9713
Marsfield,NSW,2122,6932,-33.7739,151.1055
Hastings,VIC,3915,6916,-38.3046,145.1827
Tweed Heads South,NSW,2486,6881,-28.1992,153.5338
Rutherford,NSW,2320,6878,-32.7137,151.5237
Bongaree,QLD,4507,6872,-27.0741,153.1627
Templestowe Lower,VIC,3107,6868,-37.7649,145.1128
Dromana,VIC,3936,6865,-38.3377,144.9715
Osborne Park,WA,6017,6860,-31.9027,115.8211
Kingston,TAS,7050,6854,-42.9786,147.3001
Kambah,ACT,2902,6841,-35.3867,149.0606
South Hedland,WA,6722,6835,-20.4078,118.6081
Sandringham,VIC,3191,6808,-37.9533,145.0158
Pacific Pines,QLD,4211,6807,-27.9388,153.314
Mortdale,NSW,2223,6804,-33.969,151.0759
Hamilton,VIC,3300,6784,-37.7384,142.0253
Arncliffe,NSW,2205,6780,-33.9376,151.145
Noosa Heads,QLD,4567,6778,-26.3965,153.0878
Mona Vale,NSW,2103,6773,-33.6759,151.3043
Greenbank,QLD,4124,6769,-27.7209,152.9765
Newport,VIC,3015,6765,-37.8427,144.8779
Miami,QLD,4220,6759,-28.0693,153.4403
Gunnedah,NSW,2380,6758,-30.9886,150.2451
Casino,NSW,2470,6744,-28.8598,153.0438
Springfield Lakes,QLD,4300,6733,-27.6799,152.9189
Slacks Creek,QLD,4127,6719,-27.6384,153.1284
Carina,QLD,4152,6718,-27.4887,153.0972
